n   d   nvars   num_itr   py_time   energy   solution
7   1   49   500   1189.2530918121338   -14.0   NO
7   1   49   500   1140.2721405029297   -14.0   NO
7   1   49   1000   2235.5802059173584   -14.0   NO
7   1   49   2000   4541.557550430298   -14.0   NO
7   1   49   10000   22997.636318206787   -14.0   NO
7   1   49   100000   225818.92895698547   -14.0   NO
7   1   49   1000000   2215513.441801071   -14.0   NO
7   0   49   1000   2429.5475482940674   -14.0   NO
4   0   16   1000   671.2186336517334   -8.0   YES
4   0   16   1000   548.680305480957   -8.0   YES
5   0   25   1000   977.3199558258057   -10.0   YES
5   0   25   1000   951.3163566589355   -10.0   YES
6   0   36   1000   1521.7924118041992   -12.0   NO
6   0   36   1000   1566.4598941802979   -12.0   NO
6   0   36   1000   1560.6238842010498   -12.0   NO
6   0   36   10000   15363.439083099365   -12.0   NO
6   0   36   10000   15683.970928192139   -12.0   NO
6   0   36   10000   15659.562826156616   -12.0   NO
6   0   36   100000   155400.26903152466   -12.0   NO
6   0   36   400   696.2966918945312   -12.0   NO
6   0   36   400   950.6511688232422   -12.0   NO
6   0   36   400   852.7278900146484   -12.0   NO
10   0   100   400   2254.291296005249   -20.0   NO
6   0   36   400   3.8480758666992188   -12.0   NO
6   0   36   400   2.293825149536133   -10.0   NO
6   0   36   400   1.8184185028076172   -10.0   NO
6   0   36   1000   1527.2691249847412   -12.0   NO
6   0   36   1000   1570.708990097046   -12.0   NO
6   0   36   1000   1448.5504627227783   -12.0   NO
6   0   36   10   20.07913589477539   -12.0   YES
6   0   36   10   21.73304557800293   -12.0   YES
10   0   100   10   66.52617454528809   -20.0   YES
6   0   36   100   174.93319511413574   -12.0   NO
6   0   36   100   184.37814712524414   -12.0   NO
6   0   36   100   153.97953987121582   -12.0   NO
6   0   36   100   163.55490684509277   -12.0   YES
6   0   36   100   156.80623054504395   -12.0   NO
6   0   36   100   157.99403190612793   -12.0   NO
6   0   36   100   167.39463806152344   -12.0   NO
6   0   36   100   195.62196731567383   -12.0   NO
6   0   36   100   156.1741828918457   -12.0   NO
6   0   36   100   288.93542289733887   -12.0   NO
6   0   36   100   155.68041801452637   -12.0   NO
6   0   36   100   154.60681915283203   -12.0   YES
6   0   36   100   150.24423599243164   -12.0   YES
6   0   36   100   158.42056274414062   -12.0   YES
6   0   36   100   159.23690795898438   -12.0   YES
6   0   36   100   153.77044677734375   -12.0   YES
6   0   36   100   220.74174880981445   -12.0   YES
6   0   36   100   153.6386013031006   -12.0   NO
5   0   25   100   104.91633415222168   -10.0   YES
5   0   25   100   103.16300392150879   -10.0   YES
5   0   25   100   99.55143928527832   -10.0   YES
5   0   25   100   108.21032524108887   -10.0   YES
