n   d   nvars   num_itr   p_sol   sp_name   py_time   energy   solution
40   78   675   1   0.0   SimulatedAnnealingSampler   236.23991012573242   -72.0   NO
40   78   675   100   0.0   SimulatedAnnealingSampler   9886.09766960144   -74.0   NO
40   78   675   1000   0.003   SimulatedAnnealingSampler   97846.2119102478   -80.0   YES

40   78   675   1   0.0   SimulatedAnnealingSampler   238.12222480773926   -74.0   NO
40   78   675   1   0.0   SimulatedAnnealingSampler   265.38920402526855   -74.0   NO
40   78   675   1   0.0   SimulatedAnnealingSampler   224.196195602417   -72.0   NO
40   78   675   1   0.0   SimulatedAnnealingSampler   142.82703399658203   -72.0   NO
40   78   675   1   0.0   SimulatedAnnealingSampler   148.46229553222656   -72.0   NO
30   58   378   1   0.0   SimulatedAnnealingSampler   75.43134689331055   -54.0   NO
30   58   378   1   0.0   SimulatedAnnealingSampler   59.84091758728027   -54.0   NO
30   58   378   1   0.0   SimulatedAnnealingSampler   65.16170501708984   -54.0   NO
30   58   378   1   0.0   SimulatedAnnealingSampler   65.4287338256836   -52.0   NO
30   58   378   1   0.0   SimulatedAnnealingSampler   60.475826263427734   -54.0   NO
20   38   168   1   0.0   SimulatedAnnealingSampler   31.210660934448242   -34.0   NO
20   38   168   1   0.0   SimulatedAnnealingSampler   20.7979679107666   -36.0   NO
20   38   168   1   1.0   SimulatedAnnealingSampler   22.588253021240234   -40.0   YES
20   38   168   1   0.0   SimulatedAnnealingSampler   25.606870651245117   -36.0   NO
20   38   168   1   1.0   SimulatedAnnealingSampler   35.410165786743164   -40.0   YES
10   18   44   1   1.0   SimulatedAnnealingSampler   6.231546401977539   -20.0   YES
10   18   44   1   1.0   SimulatedAnnealingSampler   6.068706512451172   -20.0   YES
10   18   44   1   1.0   SimulatedAnnealingSampler   6.394386291503906   -20.0   YES
10   18   44   1   1.0   SimulatedAnnealingSampler   7.1964263916015625   -20.0   YES
10   18   44   1   1.0   SimulatedAnnealingSampler   6.015539169311523   -20.0   YES


30   58   378   100   0.0   SimulatedAnnealingSampler   3004.8956871032715   -56.0   NO
30   58   378   100   0.0   SimulatedAnnealingSampler   3019.2601680755615   -56.0   NO
30   58   378   100   0.0   SimulatedAnnealingSampler   3037.1317863464355   -56.0   NO
30   58   378   100   0.01   SimulatedAnnealingSampler   2964.9088382720947   -60.0   YES
30   58   378   100   0.0   SimulatedAnnealingSampler   2938.037395477295   -56.0   NO

30   58   378   1000   0.008   SimulatedAnnealingSampler   29516.546487808228   -60.0   YES
30   58   378   1000   0.005   SimulatedAnnealingSampler   29261.5065574646   -60.0   YES
30   58   378   1000   0.005   SimulatedAnnealingSampler   29254.07123565674   -60.0   YES

50   98   1050   1000   0.0   SimulatedAnnealingSampler   111425.73356628418   -96.0   NO
50   98   1050   1000   0.0   SimulatedAnnealingSampler   111942.11220741272   -96.0   NO
50   98   1050   100   0.0   SimulatedAnnealingSampler   11017.228841781616   -94.0   NO
50   98   1050   10   0.0   SimulatedAnnealingSampler   1208.8446617126465   -94.0   NO
50   98   1050   10000   0.0   SimulatedAnnealingSampler   1154069.2629814148   -96.0   NO

30   58   378   500   0.012   SimulatedAnnealingSampler   15586.127281188965   -60.0   YES
30   58   378   300   0.01   SimulatedAnnealingSampler   8448.11987876892   -60.0   YES
30   58   378   200   0.0   SimulatedAnnealingSampler   5707.7343463897705   -56.0   NO
30   58   378   200   0.0   SimulatedAnnealingSampler   5546.518802642822   -56.0   NO

30   58   378   300   0.006666666666666667   SimulatedAnnealingSampler   8373.412132263184   -60.0   YES
30   58   378   300   0.006666666666666667   SimulatedAnnealingSampler   8427.558660507202   -60.0   YES
30   58   378   300   0.0   SimulatedAnnealingSampler   8306.506156921387   -56.0   NO
30   58   378   400   0.0   SimulatedAnnealingSampler   11421.438932418823   -56.0   NO

30   58   378   500   0.008   SimulatedAnnealingSampler   14132.908821105957   -60.0   YES
30   58   378   500   0.002   SimulatedAnnealingSampler   13813.808679580688   -60.0   YES
30   58   378   500   0.006   SimulatedAnnealingSampler   13713.600873947144   -60.0   YES
30   58   378   500   0.008   SimulatedAnnealingSampler   13840.37971496582   -60.0   YES
30   58   378   500   0.006   SimulatedAnnealingSampler   13747.833967208862   -60.0   YES

40   78   675   500   0.0   SimulatedAnnealingSampler   30132.815837860107   -76.0   NO
40   78   675   1000   0.0   SimulatedAnnealingSampler   59891.740560531616   -76.0   NO

40   78   675   3000   0.0003333333333333333   SimulatedAnnealingSampler   179938.6441707611   -80.0   YES
40   78   675   3000   0.0   SimulatedAnnealingSampler   183178.69472503662   -76.0   NO

40   78   675   6000   0.001   SimulatedAnnealingSampler   368853.29151153564   -80.0   YES
40   78   675   6000   0.0005   SimulatedAnnealingSampler   357897.5455760956   -80.0   YES
40   78   675   5000   0.001   SimulatedAnnealingSampler   358435.3485107422   -80.0   YES

40   78   675   4000   0.00075   SimulatedAnnealingSampler   245995.9864616394   -80.0   YES
40   78   675   4000   0.0005   SimulatedAnnealingSampler   249314.66722488403   -80.0   YES
40   78   675   4000   0.00125   SimulatedAnnealingSampler   239841.88389778137   -80.0   YES
40   78   675   4000   0.00075   SimulatedAnnealingSampler   239478.6298274994   -80.0   YES
40   78   675   4000   0.00075   SimulatedAnnealingSampler   249409.64794158936   -80.0   YES

40   78   675   3000   0.0006666666666666666   SimulatedAnnealingSampler   181831.82668685913   -80.0   YES
40   78   675   3000   0.0013333333333333333   SimulatedAnnealingSampler   184948.17876815796   -80.0   YES
40   78   675   3000   0.001   SimulatedAnnealingSampler   186544.82674598694   -80.0   YES
40   78   675   3000   0.0   SimulatedAnnealingSampler   177929.16345596313   -76.0   NO

20   38   168   100   0.07   SimulatedAnnealingSampler   1085.0112438201904   -40.0   YES
20   38   168   100   0.14   SimulatedAnnealingSampler   981.9717407226562   -40.0   YES
20   38   168   100   0.22   SimulatedAnnealingSampler   990.2474880218506   -40.0   YES
20   38   168   10   0.0   SimulatedAnnealingSampler   113.64531517028809   -36.0   NO
20   38   168   50   0.22   SimulatedAnnealingSampler   494.47154998779297   -40.0   YES
20   38   168   50   0.16   SimulatedAnnealingSampler   497.2968101501465   -40.0   YES
20   38   168   50   0.08   SimulatedAnnealingSampler   483.7977886199951   -40.0   YES
20   38   168   50   0.16   SimulatedAnnealingSampler   506.8397521972656   -40.0   YES
20   38   168   50   0.16   SimulatedAnnealingSampler   495.5437183380127   -40.0   YES
20   38   168   15   0.0   SimulatedAnnealingSampler   321.92325592041016   -36.0   NO


40   78   675   4000   0.00075   SimulatedAnnealingSampler   245995.9864616394   -80.0   YES
40   78   675   4000   0.0005   SimulatedAnnealingSampler   249314.66722488403   -80.0   YES
40   78   675   4000   0.00125   SimulatedAnnealingSampler   239841.88389778137   -80.0   YES
