n   d   nvars   num_itr   sp_name   py_time   energy   solution
4   0   16   100   SimulatedAnnealingSampler   66.10703468322754   -8.0   YES
4   0   16   100   SimulatedAnnealingSampler   54.40711975097656   -8.0   YES
4   0   16   100   SimulatedAnnealingSampler   56.30135536193848   -8.0   YES
5   0   25   100   SimulatedAnnealingSampler   101.806640625   -10.0   YES
5   0   25   100   SimulatedAnnealingSampler   99.37691688537598   -10.0   YES
5   0   25   100   SimulatedAnnealingSampler   92.74673461914062   -10.0   YES
6   0   36   100   SimulatedAnnealingSampler   156.2943458557129   -12.0   YES
6   0   36   100   SimulatedAnnealingSampler   154.55079078674316   -12.0   YES
6   0   36   100   SimulatedAnnealingSampler   146.76523208618164   -12.0   YES
7   0   49   100   SimulatedAnnealingSampler   224.00927543640137   -14.0   YES
7   0   49   100   SimulatedAnnealingSampler   218.86372566223145   -14.0   YES
7   0   49   100   SimulatedAnnealingSampler   221.80700302124023   -14.0   YES
4   0   16   100   SteepestDescentSolver   1.7883777618408203   -8.0   YES
4   0   16   100   SteepestDescentSolver   1.2416839599609375   -8.0   YES
4   0   16   100   SteepestDescentSolver   1.1565685272216797   -8.0   YES
5   0   25   100   SteepestDescentSolver   2.105236053466797   -10.0   YES
5   0   25   100   SteepestDescentSolver   1.2836456298828125   -10.0   YES
5   0   25   100   SteepestDescentSolver   1.3310909271240234   -10.0   YES
6   0   36   100   SteepestDescentSolver   2.1598339080810547   -12.0   YES
6   0   36   100   SteepestDescentSolver   1.6565322875976562   -12.0   YES
6   0   36   100   SteepestDescentSolver   2.093791961669922   -12.0   YES
7   0   49   100   SteepestDescentSolver   2.830028533935547   -14.0   YES
7   0   49   100   SteepestDescentSolver   1.9695758819580078   -14.0   YES
7   0   49   100   SteepestDescentSolver   2.039670944213867   -14.0   YES
4   0   16   100   TabuSampler   2103.5919189453125   -8.0   YES
4   0   16   100   TabuSampler   2101.7367839813232   -8.0   YES
4   0   16   100   TabuSampler   2100.7485389709473   -8.0   YES
5   0   25   100   TabuSampler   2104.248523712158   -10.0   YES
5   0   25   100   TabuSampler   2101.128339767456   -10.0   YES
5   0   25   100   TabuSampler   2102.1549701690674   -10.0   YES
6   0   36   100   TabuSampler   2102.614402770996   -12.0   YES
6   0   36   100   TabuSampler   2102.415084838867   -12.0   YES
6   0   36   100   TabuSampler   2102.1924018859863   -12.0   YES
7   0   49   100   TabuSampler   2101.914882659912   -14.0   YES
7   0   49   100   TabuSampler   2101.452350616455   -14.0   YES
7   0   49   100   TabuSampler   2104.3286323547363   -14.0   YES
4   0   16   100   TreeDecompositionSolver   4.141807556152344   -8.0   YES
4   0   16   100   TreeDecompositionSolver   2.8138160705566406   -8.0   YES
4   0   16   100   TreeDecompositionSolver   2.8533935546875   -8.0   YES
5   0   25   100   TreeDecompositionSolver   146.67391777038574   -10.0   YES
5   0   25   100   TreeDecompositionSolver   137.0522975921631   -10.0   YES
5   0   25   100   TreeDecompositionSolver   136.13271713256836   -10.0   YES
4   0   16   100000   RandomSampler   62.04032897949219   -8.0   YES
4   0   16   100000   RandomSampler   63.002586364746094   -8.0   YES
4   0   16   100000   RandomSampler   65.34600257873535   -8.0   YES
5   0   25   10000000   RandomSampler   21347.40710258484   -10.0   YES
5   0   25   10000000   RandomSampler   10764.763355255127   -10.0   YES
5   0   25   10000000   RandomSampler   9014.315605163574   -10.0   YES
