n   d   nvars   num_itr   p_sol   sp_name   py_time   energy   solution
100   0   10000   1000   0.95   SimulatedAnnealingSampler   3898502.349615097   -200.0   YES
100   0   10000   100   0.94   SimulatedAnnealingSampler   371718.4133529663   -200.0   YES
100   0   10000   100   0.94   SimulatedAnnealingSampler   374311.3293647766   -200.0   YES
100   0   10000   100   0.93   SimulatedAnnealingSampler   360912.89043426514   -200.0   YES
100   0   10000   100   0.94   SimulatedAnnealingSampler   377023.5171318054   -200.0   YES
100   0   10000   10   0.8   SimulatedAnnealingSampler   42879.931926727295   -200.0   YES
100   0   10000   10   1.0   SimulatedAnnealingSampler   42635.305643081665   -200.0   YES
100   0   10000   10   0.9   SimulatedAnnealingSampler   42884.51623916626   -200.0   YES
100   0   10000   5   1.0   SimulatedAnnealingSampler   23960.920333862305   -200.0   YES
100   0   10000   1   1.0   SimulatedAnnealingSampler   9110.808372497559   -200.0   YES
100   0   10000   1   0.0   SimulatedAnnealingSampler   8961.348533630371   -198.0   NO

100   0   10000   1   1.0   SimulatedAnnealingSampler   8689.067840576172   -200.0   YES
90   0   8100   1   1.0   SimulatedAnnealingSampler   6549.681901931763   -180.0   YES
80   0   6400   1   1.0   SimulatedAnnealingSampler   4522.67599105835   -160.0   YES
70   0   4900   1   1.0   SimulatedAnnealingSampler   2846.4138507843018   -140.0   YES
60   0   3600   1   1.0   SimulatedAnnealingSampler   1800.5566596984863   -120.0   YES
55   0   3025   1   1.0   SimulatedAnnealingSampler   1384.1896057128906   -110.0   YES
50   0   2500   1   1.0   SimulatedAnnealingSampler   1063.4334087371826   -100.0   YES
45   0   2025   1   1.0   SimulatedAnnealingSampler   758.678674697876   -90.0   YES
40   0   1600   1   1.0   SimulatedAnnealingSampler   525.2408981323242   -80.0   YES
35   0   1225   1   1.0   SimulatedAnnealingSampler   358.38961601257324   -70.0   YES
30   0   900   1   1.0   SimulatedAnnealingSampler   219.17438507080078   -60.0   YES
25   0   625   1   1.0   SimulatedAnnealingSampler   130.5375099182129   -50.0   YES
20   0   400   1   1.0   SimulatedAnnealingSampler   70.16682624816895   -40.0   YES
15   0   225   1   1.0   SimulatedAnnealingSampler   31.79478645324707   -30.0   YES
10   0   100   1   1.0   SimulatedAnnealingSampler   12.47549057006836   -20.0   YES
5   0   25   1   1.0   SimulatedAnnealingSampler   3.8504600524902344   -10.0   YES
