n   d   nvars   num_itr   p_sol   sp_name   py_time   energy   solution
100   0   10000   100   0.96   SimulatedAnnealingSampler   378101.5808582306   -200.0   YES
100   0   10000   100   0.92   SimulatedAnnealingSampler   375553.5891056061   -200.0   YES
100   0   10000   100   0.93   SimulatedAnnealingSampler   390378.2494068146   -200.0   YES
100   0   10000   100   0.91   SimulatedAnnealingSampler   381281.7852497101   -200.0   YES
100   0   10000   100   0.95   SimulatedAnnealingSampler   395368.6192035675   -200.0   YES
100   0   10000   100   0.95   SimulatedAnnealingSampler   362335.5951309204   -200.0   YES
100   0   10000   100   0.92   SimulatedAnnealingSampler   395384.3355178833   -200.0   YES
100   0   10000   100   0.97   SimulatedAnnealingSampler   381214.81704711914   -200.0   YES
100   0   10000   100   0.92   SimulatedAnnealingSampler   383377.90298461914   -200.0   YES
100   0   10000   100   0.91   SimulatedAnnealingSampler   383094.9010848999   -200.0   YES
100   0   10000   100   0.96   SimulatedAnnealingSampler   374486.7434501648   -200.0   YES
100   0   10000   100   0.89   SimulatedAnnealingSampler   370224.9517440796   -200.0   YES
100   0   10000   100   0.93   SimulatedAnnealingSampler   385816.1153793335   -200.0   YES
100   0   10000   100   0.9   SimulatedAnnealingSampler   388181.1227798462   -200.0   YES
100   0   10000   100   0.87   SimulatedAnnealingSampler   375238.0883693695   -200.0   YES
100   0   10000   100   0.94   SimulatedAnnealingSampler   398526.5429019928   -200.0   YES
100   0   10000   100   0.94   SimulatedAnnealingSampler   387911.4408493042   -200.0   YES
100   0   10000   100   0.96   SimulatedAnnealingSampler   380035.7449054718   -200.0   YES
100   0   10000   100   0.94   SimulatedAnnealingSampler   388732.46932029724   -200.0   YES
100   0   10000   100   0.94   SimulatedAnnealingSampler   371774.32680130005   -200.0   YES
100   0   10000   100   0.91   SimulatedAnnealingSampler   458262.6485824585   -200.0   YES
100   0   10000   100   0.93   SimulatedAnnealingSampler   395583.90498161316   -200.0   YES
100   0   10000   100   0.96   SimulatedAnnealingSampler   362712.04805374146   -200.0   YES
100   0   10000   100   0.98   SimulatedAnnealingSampler   384079.58149909973   -200.0   YES
100   0   10000   100   0.92   SimulatedAnnealingSampler   398024.47986602783   -200.0   YES
100   0   10000   100   0.97   SimulatedAnnealingSampler   353347.62930870056   -200.0   YES
100   0   10000   100   0.95   SimulatedAnnealingSampler   382427.2789955139   -200.0   YES
100   0   10000   100   0.95   SimulatedAnnealingSampler   391769.8185443878   -200.0   YES
100   0   10000   100   0.99   SimulatedAnnealingSampler   375228.0385494232   -200.0   YES
100   0   10000   100   0.96   SimulatedAnnealingSampler   365136.9688510895   -200.0   YES
100   0   10000   100   0.96   SimulatedAnnealingSampler   434966.7899608612   -200.0   YES
