n   d   nvars   num_itr   p_sol   sp_name   py_time   energy   solution
300   0   90000   1   0.0   SimulatedAnnealingSampler   262247.35832214355   -598.0   NO
300   0   90000   1   0.0   SimulatedAnnealingSampler   252760.37120819092   -598.0   NO
300   0   90000   1   0.0   SimulatedAnnealingSampler   252568.4380531311   -598.0   NO
300   0   90000   1   1.0   SimulatedAnnealingSampler   251263.58890533447   -600.0   YES
300   0   90000   1   1.0   SimulatedAnnealingSampler   251239.62569236755   -600.0   YES
300   0   90000   1   0.0   SimulatedAnnealingSampler   249964.84375   -598.0   NO
300   0   90000   1   1.0   SimulatedAnnealingSampler   250498.3777999878   -600.0   YES
300   0   90000   1   0.0   SimulatedAnnealingSampler   251788.54393959045   -596.0   NO
300   0   90000   1   0.0   SimulatedAnnealingSampler   275894.5486545563   -598.0   NO
300   0   90000   1   1.0   SimulatedAnnealingSampler   293870.72563171387   -600.0   YES
300   0   90000   1   0.0   SimulatedAnnealingSampler   278403.8653373718   -598.0   NO
300   0   90000   1   0.0   SimulatedAnnealingSampler   266564.96810913086   -598.0   NO
300   0   90000   1   1.0   SimulatedAnnealingSampler   320014.27006721497   -600.0   YES
300   0   90000   1   1.0   SimulatedAnnealingSampler   279408.37812423706   -600.0   YES
300   0   90000   1   0.0   SimulatedAnnealingSampler   272630.1963329315   -598.0   NO
300   0   90000   1   0.0   SimulatedAnnealingSampler   273652.07529067993   -598.0   NO
300   0   90000   1   0.0   SimulatedAnnealingSampler   362949.91731643677   -598.0   NO
300   0   90000   1   1.0   SimulatedAnnealingSampler   261376.3930797577   -600.0   YES
300   0   90000   1   0.0   SimulatedAnnealingSampler   262418.79868507385   -598.0   NO
300   0   90000   1   1.0   SimulatedAnnealingSampler   273024.7812271118   -600.0   YES
