n   d   nvars   num_itr   p_sol   sp_name   py_time   energy   solution
5   0   25   1   1.0   TabuSampler   26.239871978759766   -10.0   YES
5   0   25   1   1.0   TabuSampler   25.08544921875   -10.0   YES
5   0   25   1   1.0   TabuSampler   25.143146514892578   -10.0   YES
5   0   25   1000   1.0   TabuSampler   21006.259202957153   -10.0   YES

10   0   100   1000   0.949   TabuSampler   21012.288093566895   -20.0   YES

20   0   400   1   1.0   TabuSampler   80.09219169616699   -40.0   YES
20   0   400   1   1.0   TabuSampler   74.97310638427734   -40.0   YES
20   0   400   1   1.0   TabuSampler   46.27084732055664   -40.0   YES
20   0   400   100   1.0   TabuSampler   2797.8591918945312   -40.0   YES
20   0   400   1000   1.0   TabuSampler   24304.86536026001   -40.0   YES

30   0   900   1   1.0   TabuSampler   131.92510604858398   -60.0   YES
30   0   900   1   1.0   TabuSampler   112.72239685058594   -60.0   YES
30   0   900   1   1.0   TabuSampler   94.67387199401855   -60.0   YES
30   0   900   1000   0.999   TabuSampler   41092.68045425415   -60.0   YES

40   0   1600   1   0.0   TabuSampler   283.27012062072754   -60.0   NO
40   0   1600   1   0.0   TabuSampler   270.1139450073242   -62.0   NO
40   0   1600   1   0.0   TabuSampler   250.43845176696777   -60.0   NO
40   0   1600   10   0.0   TabuSampler   1400.7048606872559   -64.0   NO
40   0   1600   10   0.0   TabuSampler   1406.402826309204   -64.0   NO
40   0   1600   10   0.0   TabuSampler   1187.875509262085   -62.0   NO
40   0   1600   100   0.0   TabuSampler   11243.497848510742   -64.0   NO
40   0   1600   100   0.0   TabuSampler   11204.426050186157   -64.0   NO
40   0   1600   100   0.0   TabuSampler   11135.15830039978   -64.0   NO
40   0   1600   1000   0.0   TabuSampler   99717.87738800049   -66.0   NO
40   0   1600   1000   0.0   TabuSampler   101654.04844284058   -66.0   NO
40   0   1600   10000   0.0   TabuSampler   930883.846282959   -66.0   NO
40   0   1600   10000   0.0   TabuSampler   963711.8961811066   -66.0   NO
40   0   1600   100000   0.0   TabuSampler   9611533.099412918   -66.0   NO

50   0   2500   100   0.0   TabuSampler   43255.88822364807   87590.0   NO

100   0   10000   100   0.0   TabuSampler   801237.9095554352   766350.0   NO
