n	qpu_t	find_embedding_t	FixedEmbedding_t	num_qubits	topology
6	1.4794716835021973	2.9293289184570312	0.011994361877441406	392	chimera
6	1.2973651885986328	2.6831791400909424	0.010769844055175781	386	chimera
6	1.3316068649291992	4.71424674987793	0.013585090637207031	360	chimera
6	1.5117464065551758	5.433554172515869	0.012096405029296875	348	chimera
6	1.238105297088623	8.640452146530151	0.015035390853881836	353	chimera
6	1.3385887145996094	3.531104326248169	0.011937618255615234	377	chimera
6	1.0660669803619385	6.716776609420776	0.011286258697509766	376	chimera
6	1.7169950008392334	3.8686177730560303	0.014439582824707031	363	chimera
6	1.2466235160827637	3.226301431655884	0.012287616729736328	379	chimera
6	1.7072741985321045	5.7677085399627686	0.011080741882324219	352	chimera
6	1.092160940170288	6.512982130050659	0.011223316192626953	340	chimera
6	1.688685655593872	2.888705253601074	0.011980295181274414	398	chimera
6	1.1754684448242188	6.578506231307983	0.01224827766418457	364	chimera
6	1.0289642810821533	9.631845951080322	0.012770414352416992	364	chimera
6	1.9414443969726562	4.969441890716553	0.01675868034362793	347	chimera
6	1.2172999382019043	9.637851238250732	0.015262603759765625	351	chimera
6	1.3899335861206055	7.397643327713013	0.015604972839355469	351	chimera
6	1.3353238105773926	7.5043134689331055	0.012474536895751953	361	chimera
6	2.102705240249634	3.797605514526367	0.010379314422607422	370	chimera
6	1.0984761714935303	6.010453462600708	0.014835834503173828	378	chimera
6	1.2285645008087158	3.4724903106689453	0.01195383071899414	378	chimera
6	1.1901588439941406	5.141112804412842	0.014898061752319336	363	chimera
6	1.0969748497009277	3.8265395164489746	0.016933202743530273	373	chimera
6	2.384910821914673	5.668759822845459	0.012864112854003906	375	chimera
6	1.5274803638458252	7.0258989334106445	0.015758037567138672	356	chimera
6	1.092573881149292	4.158460378646851	0.01557779312133789	353	chimera
6	1.1175718307495117	2.80861759185791	0.011027097702026367	370	chimera
6	1.196112871170044	4.300802946090698	0.011478900909423828	374	chimera
6	2.4145138263702393	5.153900384902954	0.012608051300048828	372	chimera
6	1.1925444602966309	2.8213534355163574	0.010746002197265625	375	chimera
6	1.1119239330291748	9.616169214248657	0.011336088180541992	349	chimera
6	1.2578938007354736	2.6646525859832764	0.012989282608032227	358	chimera
6	1.0697896480560303	15.413599729537964	0.015988588333129883	359	chimera
6	1.1283607482910156	8.055166959762573	0.012442827224731445	359	chimera
6	1.1504194736480713	2.77839994430542	0.012913703918457031	397	chimera
6	3.1168010234832764	2.317343235015869	0.010447025299072266	379	chimera
6	1.2291131019592285	5.101952791213989	0.013387680053710938	346	chimera
