n   d   nvars   py_time   qpu_access_time   charge_time   run_time   energy   solution
10   0   100   8438.295602798462   120.791   2989.1730000000002   2989.1730000000002   -20.0   YES
10   0   100   6482.471704483032   157.609   2995.96   2995.96   -20.0   YES
10   0   100   8000.6842613220215   144.538   2990.539   2990.539   -20.0   YES
10   0   100   8761.27552986145   120.973   2994.4990000000003   2994.4990000000003   -20.0   YES
10   0   100   8464.81990814209   139.328   2995.129   2995.129   -20.0   YES
20   0   400   8465.793371200562   42.738   2999.977   2999.977   -40.0   YES
20   0   400   7913.799047470093   42.749   2992.216   2992.216   -40.0   YES
20   0   400   8523.504972457886   42.737   2988.424   2988.424   -40.0   YES
20   0   400   68212.90159225464   42.714   2998.121   2998.121   -40.0   YES
20   0   400   8224.778890609741   42.74   2999.351   2999.351   -40.0   YES
30   0   900   8879.911184310913   41.851   2990.838   2990.838   -60.0   YES
30   0   900   8316.820621490479   0.0   2991.176   2991.176   -60.0   YES
30   0   900   7877.832651138306   42.74   2988.602   2988.602   -60.0   YES
30   0   900   8075.212717056274   42.747   3000.0   3000.082   -60.0   YES
30   0   900   8109.933853149414   42.082   2995.494   2995.494   -60.0   YES
40   0   1600   10260.158777236938   42.736000000000004   4310.613   4310.613   -80.0   YES
40   0   1600   9757.062911987305   42.742000000000004   4305.518   4305.518   -80.0   YES
40   0   1600   9676.844835281372   42.739000000000004   4312.5   4313.339   -80.0   YES
40   0   1600   9618.387460708618   42.739000000000004   4304.573   4304.573   -80.0   YES
40   0   1600   9559.342384338379   42.745   4310.598   4310.598   -80.0   YES
50   0   2500   12165.46368598938   42.744   6363.281   6365.174   -100.0   YES
50   0   2500   11861.994743347168   42.719   6351.302   6351.302   -100.0   YES
50   0   2500   12085.750818252563   85.48100000000001   6354.104   6354.104   -100.0   YES
50   0   2500   9565.248489379883   42.744   6354.459   6354.459   -100.0   YES
50   0   2500   72125.28944015503   42.739000000000004   6355.843   6355.843   -100.0   YES
60   0   3600   15023.005247116089   85.48   8860.071   8860.071   -120.0   YES
60   0   3600   12390.05184173584   85.483   8869.791000000001   8872.533   -120.0   YES
60   0   3600   12258.157968521118   85.486   8869.791000000001   8871.48   -120.0   YES
60   0   3600   12097.669124603271   85.462   8869.791000000001   8874.033   -118.0   NO
60   0   3600   14816.079139709473   85.487   8860.914   8860.914   -120.0   YES
60   0   3600   12473.20032119751   85.486   8869.791000000001   8870.997   -120.0   YES
70   0   4900   21868.881702423096   128.159   14078.725   14078.725   -140.0   YES
70   0   4900   17416.932821273804   128.156   14083.688   14083.688   -140.0   YES
70   0   4900   19899.951457977295   128.163   14065.204   14065.204   -140.0   YES
70   0   4900   17834.545612335205   128.169   14067.047   14067.047   -140.0   YES
70   0   4900   19954.572916030884   128.157   14084.23   14084.23   -140.0   YES
80   0   6400   29273.48804473877   128.163   21702.152000000002   21702.152000000002   -160.0   YES
80   0   6400   27700.78420639038   128.159   21704.553   21704.553   -160.0   YES
80   0   6400   27073.498964309692   128.17000000000002   21681.017   21681.017   -160.0   YES
80   0   6400   27586.477279663086   128.151   21703.233   21703.233   -160.0   YES
80   0   6400   27865.558624267578   128.159   21690.186   21690.186   -160.0   YES
90   0   8100   37015.77544212341   128.156   30342.894   30342.894   -180.0   YES
90   0   8100   40817.38781929016   128.15800000000002   30294.312   30294.312   -180.0   YES
90   0   8100   40699.700355529785   128.157   30319.420000000002   30319.420000000002   -180.0   YES
90   0   8100   40670.92227935791   128.157   30343.587   30343.587   -178.0   NO
90   0   8100   41070.89042663574   128.156   30310.971   30310.971   -180.0   YES
90   0   8100   36170.61805725098   128.157   30344.825   30344.825   -180.0   YES
100   0   10000   48241.24050140381   213.589   39982.593   39982.593   -198.0   NO
100   0   10000   47942.63744354248   213.598   39945.366   39945.366   -200.0   YES
100   0   10000   48552.186727523804   213.59300000000002   39998.829   39998.829   -200.0   YES
100   0   10000   49831.671953201294   213.589   39997.111000000004   39997.111000000004   -198.0   NO
100   0   10000   48454.23626899719   213.596   39957.402   39957.402   -200.0   YES
100   0   10000   48087.19229698181   213.596   39940.216   39940.216   -200.0   YES
100   0   10000   68763.16714286804   213.60500000000002   40000.0   40009.672   -198.0   NO
100   0   10000   48625.82182884216   213.586   40000.0   40010.645000000004   -198.0   NO
100   0   10000   47847.748041152954   213.6   39956.472   39956.472   -198.0   NO
100   0   10000   48464.92624282837   213.603   40000.0   40022.467000000004   -198.0   NO
100   0   10000   49570.77217102051   213.601   39989.274   39989.274   -200.0   YES
