n   d   py_time   qpu_access_time   charge_time   run_time   solution
4   0   8727.807760238647   85.298   2984.2690000000002   2984.2690000000002   YES
5   0   7264.054536819458   88.624   2983.733   2983.733   YES
10   15   6503.025770187378   123.586   2993.123   2993.123   YES
10   0   7549.170732498169   130.043   3000.0   3000.664   YES
15   23   7691.995620727539   88.961   2997.427   2997.427   YES
20   26   7040.803909301758   36.763   2992.106   2992.106   YES
25   32   7244.072198867798   36.759   2993.75   2993.75   NO
25   32   7272.4645137786865   36.762   2992.646   2992.646   YES
30   0   8399.357557296753   36.556   2994.063   2994.063   YES
35   0   8073.301076889038   36.763   3446.715   3446.715   YES
40   0   8980.6067943573   36.764   4296.39   4296.39   YES
45   0   9519.089937210083   73.532   5280.924   5281.978   YES
50   0   10645.607709884644   73.527   6348.57   6348.57   YES
100   0   48204.668283462524   183.81   40000.0   40011.775   YES
