n   d   nvars   py_time   qpu_access_time   charge_time   run_time   energy   solution
4   0   25   8727.807760238647   85.298   2984.2690000000002   2984.2690000000002   -8.0   YES
5   0   25   7264.054536819458   88.624   2983.733   2983.733   -10.0   YES
10   15   100   6503.025770187378   123.586   2993.123   2993.123   -20.0   YES
10   0   100   7549.170732498169   130.043   3000.0   3000.664   -20.0   YES
15   23   225   7691.995620727539   88.961   2997.427   2997.427   -30.0   YES
20   26   400   7040.803909301758   36.763   2992.106   2992.106   -40.0   YES
25   32   625   7244.072198867798   36.759   2993.75   2993.75   -48.0   NO
25   32   625   7272.4645137786865   36.762   2992.646   2992.646   -50.0   YES
30   0   900   8399.357557296753   36.556   2994.063   2994.063   -60.0   YES
35   0   1225   8073.301076889038   36.763   3446.715   3446.715   -70.0   YES
40   0   1600   8980.6067943573   36.764   4296.39   4296.39   -80.0   YES
45   0   2025   9519.089937210083   73.532   5280.924   5281.978   -90.0   YES
50   0   2500   10645.607709884644   73.527   6348.57   6348.57   -100.0   YES
100   0   10000   48204.668283462524   183.81   40000.0   40011.775   -200.0   YES
55   0   3025   14621.172666549683   85.349   7385.473   7385.473   -110.0   YES
60   0   3600   14464.600563049316   85.35300000000001   8855.72   8855.72   -120.0   YES
15   0   225   7846.54426574707   68.929   2990.616   2990.616   -30.0   YES
70   0   4900   21155.887126922607   127.941   14085.365   14089.187   -140.0   YES
80   0   6400   28691.218614578247   127.94500000000001   21684.705   21684.705   -160.0   YES
90   0   8100   42346.79865837097   127.95100000000001   30302.082000000002   30302.082000000002   -180.0   YES
20   0   400   6825.312376022339   42.651   2989.522   2989.522   -40.0   YES
25   0   625   8499.89914894104   42.675000000000004   2993.818   2993.818   -50.0   YES
15   0   225   8627.284049987793   80.456   2996.7780000000002   2996.7780000000002   -30.0   YES
