     0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  chain_break_fraction  energy  num_occurrences
0    0  0  1  0  1  0  0  0  0  0   0   1   0   1   0   0                0.0000    -8.0              124
1    0  1  0  0  0  0  0  1  1  0   0   0   0   0   1   0                0.0000    -8.0               52
2    1  1  0  0  0  0  0  1  0  0   0   0   0   0   1   0                0.0000    -6.0                3
3    1  1  0  0  0  0  0  1  1  0   0   0   0   0   1   0                0.0000    -6.0                3
4    0  0  1  0  0  1  0  0  0  0   0   1   1   0   0   0                0.0000    -6.0                5
5    1  0  0  0  0  0  0  1  0  0   0   0   0   0   1   0                0.0000    -6.0                4
6    1  0  0  0  0  0  0  1  0  1   0   0   0   0   0   0                0.0000    -6.0                2
7    0  0  0  1  0  0  0  1  1  0   0   0   0   0   1   0                0.0000    -6.0                1
8    0  0  1  0  1  0  0  0  0  0   0   1   0   1   0   1                0.0000    -6.0                9
9    1  0  1  0  0  0  0  0  0  0   0   1   0   1   0   0                0.0000    -6.0                3
10   0  0  1  0  1  0  0  0  0  0   0   1   1   0   0   0                0.0000    -6.0                3
11   0  1  0  0  0  0  0  1  0  0   0   0   1   0   1   0                0.0000    -6.0                3
12   0  0  0  0  1  0  0  0  0  0   0   1   0   1   0   0                0.0000    -6.0                3
13   0  1  0  0  0  0  0  0  0  0   1   0   1   0   0   0                0.0000    -6.0                6
14   0  0  1  0  0  0  0  0  0  0   0   1   0   1   0   0                0.0000    -6.0                3
15   0  1  0  0  0  0  0  0  1  0   0   0   0   0   0   1                0.0000    -6.0                2
16   1  0  0  0  1  0  0  0  0  0   0   1   0   1   0   0                0.0000    -6.0                4
17   0  1  0  0  0  0  1  0  1  0   0   0   0   0   0   1                0.0000    -6.0                1
18   0  0  1  0  1  0  0  0  0  0   0   1   1   1   0   0                0.0000    -6.0                8
19   0  1  0  0  0  0  0  1  0  0   0   0   0   0   1   0                0.0000    -6.0                3
20   0  0  0  0  0  0  0  1  1  0   0   0   0   0   1   0                0.0000    -6.0                1
21   0  0  1  0  0  0  0  0  0  0   0   1   1   0   0   0                0.0000    -6.0                1
