    0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  chain_break_fraction  energy  num_occurrences
0   0  0  1  0  1  0  0  0  0  0   0   1   0   1   0   0                0.0000    -8.0               41
1   0  1  0  0  0  0  0  1  1  0   0   0   0   0   1   0                0.0000    -8.0               87
2   0  0  1  0  1  0  0  0  0  0   0   1   1   0   0   0                0.0000    -6.0                2
3   0  0  1  0  0  0  0  0  0  0   0   1   0   1   0   0                0.0000    -6.0                1
4   0  0  1  0  0  0  0  0  0  1   0   0   0   0   0   1                0.0000    -6.0                1
5   0  0  1  0  0  0  0  0  0  0   0   1   1   1   0   0                0.0000    -6.0                3
6   1  0  0  0  0  0  0  1  0  1   0   0   0   0   0   0                0.0000    -6.0                2
7   0  1  0  0  0  0  0  1  0  0   0   0   1   0   1   0                0.0000    -6.0                3
8   0  0  1  0  1  0  0  0  0  0   0   1   1   1   0   0                0.0000    -6.0                2
9   1  0  0  0  0  0  0  1  1  0   0   0   0   0   1   0                0.0000    -6.0                1
10  1  1  0  0  0  0  0  1  0  0   0   0   0   0   1   0                0.0000    -6.0                2
11  1  0  0  0  1  0  0  0  0  0   0   1   0   1   0   0                0.0000    -6.0                1
12  0  1  0  0  0  0  0  1  0  0   0   0   1   0   0   0                0.0000    -6.0                3
13  0  0  0  1  0  1  0  0  0  0   0   0   0   0   1   0                0.0000    -6.0                5
14  1  0  0  0  0  0  0  1  0  1   0   0   0   0   1   0                0.0000    -6.0                3
15  1  1  0  0  0  0  0  1  1  0   0   0   0   0   1   0                0.0000    -6.0                3
16  0  1  0  0  0  0  0  1  0  0   1   0   1   0   0   0                0.0000    -6.0                3
17  0  1  0  1  0  0  0  1  1  0   0   0   0   0   1   0                0.0000    -6.0                2
18  0  0  0  1  0  0  0  0  1  0   0   0   0   0   1   0                0.0000    -6.0                1
19  0  1  0  0  0  0  0  0  0  0   1   0   1   0   0   0                0.0000    -6.0                5
20  0  1  0  0  0  0  0  1  1  0   0   0   1   0   0   0                0.0000    -6.0                1
21  1  0  1  0  1  0  0  0  0  0   0   1   0   1   0   0                0.0000    -6.0                2
22  0  1  0  0  0  0  0  1  1  0   0   0   1   0   1   0                0.0000    -6.0                2
23  0  0  0  1  0  1  0  0  1  0   0   0   0   0   1   0                0.0000    -6.0                2
24  0  1  0  0  0  0  1  0  1  0   0   0   0   0   0   1                0.0000    -6.0                1
25  0  1  0  0  0  0  0  1  1  0   0   0   0   0   0   1                0.0000    -6.0                1
26  0  0  0  0  0  0  1  0  1  0   0   0   0   0   0   1                0.0000    -6.0                1
27  0  1  0  0  0  0  0  1  0  0   0   0   0   0   1   0                0.0000    -6.0                1
28  0  1  0  1  0  0  0  0  1  0   0   0   0   0   1   0                0.0000    -6.0                2
29  0  1  0  0  0  0  0  0  1  0   0   0   0   0   0   1                0.0000    -6.0                2
30  0  1  0  0  0  0  0  0  1  0   0   0   0   0   1   0                0.0000    -6.0                3
31  0  0  1  0  1  0  0  0  0  0   0   0   0   1   0   1                0.0000    -6.0                1
32  1  0  0  0  0  0  0  1  0  0   0   0   0   0   1   0                0.0625    -6.0                1
33  0  0  0  1  0  1  0  1  0  0   0   0   0   0   1   0                0.0000    -4.0                1
34  1  1  0  0  0  0  0  1  0  1   0   0   0   0   0   0                0.0000    -4.0                1
35  0  0  0  1  0  0  0  0  0  0   0   1   0   1   0   0                0.0000    -4.0                1
36  0  1  0  0  0  0  0  1  0  0   1   0   0   0   1   0                0.0000    -4.0                1
37  1  0  0  0  0  0  0  1  0  0   0   1   1   0   0   0                0.0000    -4.0                1
38  1  0  0  0  0  0  0  0  1  0   0   0   0   0   1   0                0.0000    -4.0                1
39  0  0  0  0  0  0  0  1  1  1   0   0   0   0   0   1                0.0000    -4.0                1
40  0  0  0  1  0  1  0  0  0  0   0   0   0   1   0   0                0.0000    -4.0                1
41  0  1  0  1  0  1  0  0  0  0   0   0   1   0   1   0                0.0000    -2.0                1
