     0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  chain_break_fraction  energy  num_occurrences
0    0  1  0  0  0  0  0  1  1  0   0   0   0   0   1   0                0.0000    -8.0               47
1    0  0  1  0  1  0  0  0  0  0   0   1   0   1   0   0                0.0000    -8.0              143
2    0  1  0  0  0  0  0  1  1  0   0   0   0   0   1   0                0.0625    -8.0                1
3    0  0  1  0  1  0  0  0  0  0   0   1   0   0   0   1                0.0000    -6.0                1
4    0  0  0  1  0  0  0  1  1  0   0   0   0   0   1   0                0.0000    -6.0                7
5    0  0  0  0  0  0  0  1  1  0   0   0   0   0   1   0                0.0000    -6.0                3
6    0  0  1  0  1  0  0  0  0  0   0   1   1   1   0   0                0.0000    -6.0                5
7    1  1  0  0  0  0  0  1  1  0   0   0   0   0   1   0                0.0000    -6.0                3
8    0  1  0  0  0  0  0  0  1  0   0   0   0   0   0   1                0.0000    -6.0                3
9    0  0  0  0  0  0  1  0  1  0   0   0   0   0   0   1                0.0000    -6.0                2
10   0  0  0  1  0  0  0  0  1  0   0   0   0   0   1   0                0.0000    -6.0                3
11   0  1  0  0  0  0  0  1  1  0   0   0   1   0   1   0                0.0000    -6.0                3
12   0  1  0  1  0  0  0  1  1  0   0   0   0   0   1   0                0.0000    -6.0                3
13   0  1  0  0  0  0  0  0  1  0   0   0   0   0   1   0                0.0000    -6.0                2
14   0  1  0  0  0  0  0  1  1  0   0   0   1   0   0   0                0.0000    -6.0                3
15   0  1  0  0  0  0  0  1  1  0   0   0   0   0   0   1                0.0000    -6.0                4
16   1  0  0  0  0  0  0  1  1  0   0   0   0   0   1   0                0.0000    -6.0                1
17   0  1  0  0  0  0  1  0  1  0   0   0   0   0   0   1                0.0000    -6.0                3
18   0  1  0  0  0  0  0  1  1  0   0   0   0   0   1   1                0.0000    -6.0                2
19   0  1  0  0  0  0  0  0  1  0   0   0   0   0   1   1                0.0000    -6.0                2
20   0  0  1  0  1  0  0  0  0  0   0   0   0   1   0   0                0.0000    -6.0                4
21   0  0  0  0  0  1  0  0  0  0   0   1   1   0   0   0                0.0000    -6.0               12
22   0  0  0  1  0  1  0  0  1  0   0   0   0   0   1   0                0.0000    -6.0               10
23   0  0  1  0  0  0  0  0  0  1   0   0   0   0   0   1                0.0000    -6.0                9
