    0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  chain_break_fraction  energy  num_occurrences
0   0  0  1  0  1  0  0  0  0  0   0   1   0   1   0   0                0.0000    -8.0               51
1   0  1  0  0  0  0  0  1  1  0   0   0   0   0   1   0                0.0000    -8.0               27
2   0  0  1  0  1  0  0  0  0  0   0   1   1   0   0   0                0.0625    -6.0                1
3   0  0  0  1  1  0  0  0  0  0   1   0   0   1   0   0                0.0625    -6.0                2
4   0  0  1  0  1  0  0  0  0  0   0   1   1   1   0   0                0.0625    -6.0                4
5   0  0  1  0  1  0  0  0  0  0   0   1   0   1   0   0                0.0625    -8.0                1
6   0  0  0  1  1  0  0  0  0  0   1   0   0   0   0   0                0.0000    -6.0                5
7   1  0  0  0  0  0  1  0  0  0   0   0   0   1   0   0                0.0000    -6.0                2
8   1  1  0  0  0  0  0  1  0  0   0   0   0   0   1   0                0.0000    -6.0                4
9   0  1  0  0  0  0  0  1  0  0   0   0   1   0   1   0                0.0000    -6.0                3
10  0  1  0  0  0  0  0  0  0  0   1   0   1   0   0   0                0.0000    -6.0                3
11  0  1  0  0  0  0  0  1  1  0   0   0   1   0   0   0                0.0000    -6.0                3
12  0  1  0  1  0  0  0  1  1  0   0   0   0   0   1   0                0.0000    -6.0                1
13  0  0  1  1  1  0  0  0  0  0   0   0   0   1   0   0                0.0000    -6.0                2
14  0  0  1  0  1  0  0  0  0  0   0   1   1   0   0   0                0.0000    -6.0                2
15  0  0  1  0  1  0  0  0  0  0   0   0   0   1   0   1                0.0000    -6.0                1
16  0  0  1  0  1  0  0  0  0  0   0   1   0   0   0   1                0.0000    -6.0                1
17  0  0  0  1  1  0  0  0  0  0   0   0   0   1   0   0                0.0000    -6.0                4
18  0  1  0  1  0  0  0  0  1  0   0   0   0   0   1   0                0.0000    -6.0                2
19  1  0  1  0  1  0  0  0  0  0   0   1   0   1   0   0                0.0000    -6.0                2
20  0  0  1  0  1  0  0  0  0  0   0   1   1   1   0   0                0.0000    -6.0                1
21  0  0  1  0  0  0  0  0  0  1   0   0   0   0   0   1                0.0000    -6.0                2
22  1  1  0  0  0  0  0  1  1  0   0   0   0   0   1   0                0.0000    -6.0                7
23  0  0  0  0  0  1  0  0  0  0   0   1   1   0   0   0                0.0000    -6.0                1
24  0  0  1  0  1  0  0  0  0  0   0   0   0   1   0   0                0.0000    -6.0                1
25  0  1  0  0  0  0  0  1  0  0   0   0   1   0   0   0                0.0000    -6.0                2
26  0  1  0  0  0  0  0  1  1  0   0   0   0   0   0   0                0.0000    -6.0                2
27  1  0  1  0  0  0  0  0  0  0   0   1   0   1   0   0                0.0000    -6.0                1
28  0  1  0  0  0  0  0  1  0  0   0   0   0   0   1   0                0.0000    -6.0                2
29  0  1  0  0  0  0  0  1  0  0   1   0   1   0   0   0                0.0000    -6.0                4
30  0  0  0  1  0  1  0  0  0  0   0   0   0   0   1   0                0.0000    -6.0                1
31  0  0  1  0  0  0  0  0  0  0   0   1   1   0   0   0                0.0000    -6.0                2
32  1  0  0  0  0  0  1  0  0  0   0   1   0   1   0   0                0.0000    -6.0                2
33  1  0  0  0  1  0  0  0  0  0   0   1   0   1   0   0                0.0000    -6.0                2
34  0  0  1  0  0  0  0  0  0  0   0   1   1   1   0   0                0.0000    -6.0                3
35  0  0  1  0  1  0  0  0  0  0   0   1   0   1   0   1                0.0000    -6.0                1
36  0  0  1  0  1  0  0  0  0  1   0   0   0   0   0   1                0.0000    -6.0                1
37  0  0  0  1  0  0  0  0  1  0   0   0   0   0   1   0                0.0000    -6.0                1
38  1  0  0  0  0  0  0  1  0  0   0   0   0   0   1   0                0.0000    -6.0                2
39  1  0  0  0  0  0  0  1  0  1   0   0   0   0   1   0                0.0000    -6.0                1
40  1  0  0  0  0  0  0  1  1  0   0   0   0   0   1   0                0.0000    -6.0                3
41  0  1  0  0  0  0  1  0  1  0   0   0   0   0   0   1                0.0000    -6.0                1
42  0  0  0  1  0  0  0  1  1  0   0   0   0   0   1   0                0.0000    -6.0                1
43  1  0  0  0  0  0  0  1  0  1   0   0   0   0   0   0                0.0000    -6.0                3
44  0  1  0  0  0  0  0  1  1  0   0   0   0   0   1   0                0.0625    -8.0                1
45  1  0  0  0  0  0  1  0  0  0   0   1   0   1   0   0                0.0625    -6.0                1
46  0  0  0  0  1  0  0  0  0  0   0   1   1   1   0   0                0.0625    -4.0                1
47  0  0  0  1  0  1  0  0  0  0   0   1   1   0   0   0                0.0000    -4.0                1
48  1  0  0  0  0  0  1  0  0  0   0   0   0   0   0   0                0.0000    -4.0                1
49  0  1  0  0  0  0  0  0  0  0   0   1   1   0   0   0                0.0000    -4.0                1
50  0  0  0  0  0  0  1  0  0  0   0   0   0   0   0   1                0.0000    -4.0                1
51  0  0  1  0  0  1  0  0  0  0   0   1   0   0   0   0                0.0000    -4.0                1
52  1  0  0  0  0  0  0  0  0  0   0   1   1   0   0   0                0.0000    -4.0                1
53  1  0  0  0  1  0  1  0  0  0   0   0   0   1   0   0                0.0000    -4.0                1
54  0  0  1  0  0  0  0  0  0  0   1   1   1   0   0   0                0.0000    -4.0                1
55  1  1  0  0  0  0  0  1  0  1   0   0   0   0   0   0                0.0000    -4.0                1
56  0  1  1  0  1  0  0  0  0  0   0   0   0   0   0   1                0.0000    -4.0                1
57  0  1  0  0  0  0  0  0  1  0   1   0   0   0   0   0                0.0000    -4.0                1
58  1  0  0  0  0  0  0  1  0  0   0   0   1   0   1   0                0.0000    -4.0                1
59  0  0  0  1  0  0  1  0  0  0   0   0   0   1   0   0                0.0000    -4.0                1
60  1  1  0  0  0  0  0  1  1  0   0   0   0   0   0   0                0.0000    -4.0                1
61  1  1  0  0  0  0  0  1  0  0   0   0   1   0   1   0                0.0000    -4.0                1
62  1  0  1  0  0  0  1  0  0  0   0   1   0   1   0   0                0.0000    -4.0                1
63  1  0  1  0  0  0  0  0  0  1   0   0   0   1   0   0                0.0000    -4.0                1
64  0  1  0  0  0  1  0  0  0  0   0   0   1   0   0   0                0.0000    -4.0                1
65  1  0  0  0  1  0  1  0  0  0   0   1   0   1   0   0                0.0000    -4.0                1
66  0  1  1  0  0  0  0  0  0  0   0   1   1   0   0   0                0.0000    -4.0                1
67  1  0  0  0  0  0  0  1  0  1   0   0   0   0   0   1                0.0000    -4.0                1
68  0  1  0  0  0  0  1  0  0  0   0   0   0   0   0   1                0.0000    -4.0                1
69  0  0  1  0  0  0  0  0  0  0   1   1   1   0   0   0                0.0625    -4.0                1
70  0  0  0  0  1  0  0  0  0  0   1   1   0   1   0   0                0.0625    -4.0                1
71  0  0  1  0  1  0  0  0  0  0   1   1   1   0   0   0                0.0625    -4.0                1
72  1  1  0  0  0  0  0  1  0  0   0   0   0   0   1   0                0.0625    -6.0                1
73  1  1  0  0  0  0  0  1  1  0   0   0   0   0   1   0                0.0625    -6.0                1
74  1  0  0  0  0  0  0  1  1  1   0   0   0   0   1   0                0.0625    -4.0                1
75  0  0  1  0  0  0  1  0  0  0   0   1   1   0   0   0                0.0000    -2.0                1
