     0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  chain_break_fraction  energy  num_occurrences
0    0  0  1  0  1  0  0  0  0  0   0   1   0   1   0   0                0.0000    -8.0              104
1    0  1  0  0  0  0  0  1  1  0   0   0   0   0   1   0                0.0000    -8.0               28
2    0  0  1  1  1  0  0  0  0  0   0   1   0   1   0   0                0.0625    -6.0                4
3    0  1  0  0  0  0  0  0  1  0   0   0   0   0   0   1                0.0000    -6.0                1
4    0  1  0  0  0  0  0  1  1  0   0   0   0   0   0   1                0.0000    -6.0                1
5    1  0  0  0  0  0  0  1  0  1   0   0   0   0   1   0                0.0000    -6.0                5
6    0  1  0  1  0  0  0  0  1  0   0   0   0   0   1   0                0.0000    -6.0                1
7    1  0  0  0  0  0  0  0  0  0   0   1   0   1   0   0                0.0000    -6.0                9
8    0  0  0  1  1  0  0  0  0  0   0   0   0   1   0   0                0.0000    -6.0                2
9    0  1  0  0  0  0  0  0  0  0   1   0   1   0   0   0                0.0000    -6.0                6
10   1  0  0  0  0  0  1  0  0  0   0   0   0   1   0   0                0.0000    -6.0                9
11   0  1  0  0  0  0  0  1  1  0   0   0   0   0   0   0                0.0000    -6.0                1
12   0  0  0  1  0  1  0  0  1  0   0   0   0   0   1   0                0.0000    -6.0                2
13   0  0  0  0  0  0  1  0  1  0   0   0   0   0   0   1                0.0000    -6.0                1
14   0  0  1  0  0  0  0  0  0  0   0   1   0   1   0   0                0.0000    -6.0                1
15   0  0  0  1  0  0  0  0  1  0   0   0   0   0   1   0                0.0000    -6.0                1
16   0  0  1  0  1  0  0  0  0  0   0   1   1   1   0   0                0.0000    -6.0                5
17   0  0  1  0  1  0  0  0  0  0   0   0   0   0   0   1                0.0000    -6.0                3
18   0  0  0  0  0  1  0  0  0  0   0   1   1   0   0   0                0.0000    -6.0               14
19   0  0  1  0  1  0  0  0  0  0   0   0   0   1   0   1                0.0000    -6.0                1
20   1  0  1  0  1  0  0  0  0  0   0   1   0   1   0   0                0.0000    -6.0               12
21   1  0  0  0  0  0  1  0  0  0   0   1   0   1   0   0                0.0000    -6.0                8
22   0  0  1  0  0  0  0  0  0  0   0   1   1   1   0   0                0.0000    -6.0                3
23   0  0  1  0  0  1  0  0  0  0   0   1   1   0   0   0                0.0000    -6.0                6
24   0  1  0  0  0  0  1  0  1  0   0   0   0   0   0   1                0.0000    -6.0                1
25   0  0  1  0  1  0  0  0  0  0   0   1   0   0   0   1                0.0000    -6.0                4
26   1  0  1  0  0  0  0  0  0  0   0   1   0   1   0   0                0.0000    -6.0                6
27   0  0  1  0  1  0  0  0  0  0   0   0   0   1   0   0                0.0000    -6.0                3
