n   d   num_itr   p_sol   variables   qubits   chain_strength   chain_break_method   embedding_time   py_time   done_time   qpu_sampling_time   qpu_anneal_time_per_sample   qpu_readout_time_per_sample   qpu_access_time   qpu_access_overhead_time   qpu_programming_time   qpu_delay_time_per_sample   total_post_processing_time   post_processing_overhead_time
7   0   200   0.005   49   263   3.116304221349385   majority_vote   2639.2054557800293   14867.926359176636   16136.58356666565   29.752   0.02   0.10822   45.51077   4.28123   15.75877   0.02054   2.146   2.146
4   0   200   0.335   16   34   2.179120350049533   majority_vote   1803.8914203643799   2091.5446281433105   2969.945192337036   17.080000000000002   0.02   0.04486   32.838370000000005   0.81263   15.758370000000001   0.02054   0.226   0.226
5   0   200   0.105   25   74   2.529440096147762   majority_vote   1830.1763534545898   3939.2359256744385   4944.610834121704   25.696   0.02   0.08794   41.453970000000005   2.1120300000000003   15.75797   0.02054   0.28400000000000003   0.28400000000000003
6   0   200   0.0   36   155   2.8378024557353836   majority_vote   1816.6961669921875   5820.186376571655   6587.447881698608   23.172   0.02   0.07532   38.93037   1.70463   15.758370000000001   0.02054   0.679   0.679
6   0   200   0.0   36   149   2.8378024557353836   majority_vote   1860.6727123260498   6443.435192108154   7301.165342330933   19.708000000000002   0.02   0.058   35.46797   1.98403   15.75997   0.02054   1.033   1.033
6   0   200   0.005   36   142   2.8378024557353836   majority_vote   1892.1310901641846   7099.290370941162   7879.29105758667   32.508   0.02   0.122   48.26917   2.59783   15.76117   0.02054   0.767   0.767
4   0   200   0.37   16   33   2.179120350049533   majority_vote   2121.122121810913   2568.6211585998535   3489.6183013916016   26.972   0.02   0.09432   42.726769999999995   1.28923   15.75477   0.02054   3.763   3.763
4   0   200   0.4   16   33   2.179120350049533   majority_vote   1988.1744384765625   2381.432056427002   3150.3844261169434   23.580000000000002   0.02   0.07736   39.33437000000001   0.59163   15.754370000000002   0.02054   3.755   3.755
5   0   200   0.245   25   74   2.529440096147762   majority_vote   2825.758218765259   4749.091863632202   5568.087577819824   31.068   0.02   0.1148   46.82277   1.24923   15.75477   0.02054   1.984   1.984
5   0   200   0.245   25   69   2.529440096147762   majority_vote   2889.700412750244   4580.570936203003   5390.374660491943   24.248   0.02   0.08070000000000001   40.00197   0.80203   15.753969999999999   0.02054   0.278   0.278
7   0   200   0.0   49   283   3.116304221349385   majority_vote   3008.317470550537   18999.053716659546   19890.34414291382   26.78   0.02   0.09336   42.53197   1.07103   15.75197   0.02054   1.101   1.101
7   0   200   0.0   49   254   3.116304221349385   majority_vote   3379.929304122925   30371.983766555786   31243.201971054077   25.584   0.02   0.08738   41.33757   0.84243   15.75357   0.02054   0.361   0.361
