n   d   num_itr   sp_name   p_sol   energy   variables   qubits   chain_strength   chain_break_method   py_time   embedding_time   qpu_sampling_time   qpu_anneal_time_per_sample   qpu_readout_time_per_sample   qpu_access_time   qpu_access_overhead_time   qpu_programming_time   qpu_delay_time_per_sample   total_post_processing_time   post_processing_overhead_time
4   0   1000   FixedEmbeddingComposite   0.499   -8.0   16   34   2.179120350049533   majority_vote   2670.762300491333   1862.6747131347656      83.74   0.02   0.0432   99.50357000000001   1.3694300000000001   15.76357   0.02054   1.024   1.024
4   0   1000   FixedEmbeddingComposite   0.335   -8.0   16   33   2.179120350049533   majority_vote   2645.0796127319336   1742.8061962127686      162.46   0.02   0.12192   178.22437   2.60563   15.764370000000001   0.02054   2.09   2.09
4   0   1000   FixedEmbeddingComposite   0.329   -8.0   16   33   2.179120350049533   majority_vote   2623.8601207733154   1699.5599269866943      191.74   0.02   0.1512   207.50237   2.8856300000000004   15.76237   0.02054   2.123   2.123
4   0   1000   FixedEmbeddingComposite   0.448   -8.0   16   34   2.179120350049533   majority_vote   2587.968349456787   1734.0402603149414      113.5   0.02   0.07296   129.26277000000002   3.5882300000000003   15.762770000000002   0.02054   1.597   1.597
4   0   1000   FixedEmbeddingComposite   0.342   -8.0   16   34   2.179120350049533   majority_vote   2517.4827575683594   1785.1171493530273      80.02   0.02   0.039479999999999994   95.78237   1.9966300000000001   15.76237   0.02054   1.052   1.052
5   0   1000   FixedEmbeddingComposite   0.276   -10.0   25   72   2.529440096147762   majority_vote   3290.6134128570557   2392.7013874053955      138.6   0.02   0.09806000000000001   154.36157   1.00043   15.76157   0.02054   1.241   1.241
5   0   1000   FixedEmbeddingComposite   0.314   -10.0   25   72   2.529440096147762   majority_vote   3263.2932662963867   2485.751152038574      119.38   0.02   0.07884000000000001   135.14317000000003   1.53283   15.76317   0.02054   1.216   1.216
5   0   1000   FixedEmbeddingComposite   0.255   -10.0   25   72   2.529440096147762   majority_vote   3918.9071655273438   3085.7298374176025      155.32   0.02   0.11478000000000001   171.08237   1.14063   15.76237   0.02054   0.627   0.627
5   0   1000   FixedEmbeddingComposite   0.273   -10.0   25   72   2.529440096147762   majority_vote   3017.308235168457   2093.3098793029785      196.16   0.02   0.15562   211.92276999999999   2.66123   15.762770000000002   0.02054   1.5250000000000001   1.5250000000000001
5   0   1000   FixedEmbeddingComposite   0.278   -10.0   25   74   2.529440096147762   majority_vote   3098.4675884246826   2278.5356044769287      131.88   0.02   0.09134   147.64276999999998   2.20723   15.762770000000002   0.02054   2.549   2.549
6   0   1000   FixedEmbeddingComposite   0.004   -12.0   36   150   2.8378024557353836   majority_vote   5519.1380977630615   4586.061716079712      162.32   0.02   0.12178   178.08317000000002   3.44083   15.76317   0.02054   2.697   2.697
6   0   1000   FixedEmbeddingComposite   0.006   -12.0   36   143   2.8378024557353836   majority_vote   7242.710113525391   6454.240798950195      102.46000000000001   0.02   0.06192   118.22277000000001   2.56923   15.762770000000002   0.02054   0.976   0.976
6   0   1000   FixedEmbeddingComposite   0.004   -12.0   36   146   2.8378024557353836   majority_vote   6748.539447784424   5897.387981414795      162.56   0.02   0.12202   178.32037   3.0196300000000003   15.760370000000002   0.02054   0.965   0.965
6   0   1000   FixedEmbeddingComposite   0.01   -12.0   36   141   2.8378024557353836   majority_vote   5513.347148895264   4677.184581756592      173.26   0.02   0.13272   189.02237   1.56163   15.76237   0.02054   1.1520000000000001   1.1520000000000001
6   0   1000   FixedEmbeddingComposite   0.012   -12.0   36   137   2.8378024557353836   majority_vote   8102.561235427856   7285.88080406189      131.02   0.02   0.09048   146.78557   1.7604300000000002   15.76557   0.02054   0.916   0.916
7   0   1000   FixedEmbeddingComposite   0.001   -14.0   49   263   3.116304221349385   majority_vote   10521.175861358643   9440.399408340454      139.32   0.02   0.09878   155.08317000000002   2.52683   15.76317   0.02054   1.061   1.061
7   0   1000   FixedEmbeddingComposite   0.004   -14.0   49   270   3.116304221349385   majority_vote   9471.598386764526   8596.6157913208      125.92   0.02   0.08538   141.68397000000002   2.07803   15.76397   0.02054   1.0090000000000001   1.0090000000000001
7   0   1000   FixedEmbeddingComposite   0.002   -14.0   49   276   3.116304221349385   majority_vote   10301.777362823486   9311.711072921753      209.96   0.02   0.16942   225.72517000000002   2.28283   15.765170000000001   0.02054   4.716   4.716
7   0   1000   FixedEmbeddingComposite   0.005   -14.0   49   283   3.116304221349385   majority_vote   11471.148490905762   10427.80089378357      194.6   0.02   0.15406   210.36237   2.6206300000000002   15.76237   0.02054   2.934   2.934
7   0   1000   FixedEmbeddingComposite   0.002   -14.0   49   259   3.116304221349385   majority_vote   9093.878269195557   8129.99963760376      139.5   0.02   0.09895999999999999   155.26357000000002   2.32443   15.76357   0.02054   0.9430000000000001   0.9430000000000001
