n   d   num_itr   sp_name   p_sol   energy   variables   qubits   chain_strength   chain_break_method   py_time   embedding_time   qpu_sampling_time   qpu_anneal_time_per_sample   qpu_readout_time_per_sample   qpu_access_time   qpu_access_overhead_time   qpu_programming_time   qpu_delay_time_per_sample   total_post_processing_time   post_processing_overhead_time
10   18   1000   FixedEmbeddingComposite   0.003   -20.0   44   204   2.787540117933894   majority_vote   7218.3837890625   6198.3442306518555      167.18   0.02   0.12664   182.94477   2.15823   15.76477   0.02054   2.803   2.803
10   18   1000   FixedEmbeddingComposite   0.001   -20.0   44   186   2.787540117933894   majority_vote   8772.753238677979   7873.215436935425      136.58   0.02   0.09604000000000001   152.34197   2.37903   15.76197   0.02054   2.832   2.832
10   18   1000   FixedEmbeddingComposite   0.0   -18.0   44   205   2.787540117933894   majority_vote   7047.969341278076   5103.594064712524      173.28   0.02   0.13274000000000002   189.04117000000002   1.82883   15.76117   0.02054   1.219   1.219
10   18   1000   FixedEmbeddingComposite   0.008   -20.0   44   201   2.787540117933894   majority_vote   7013.690710067749   6103.230714797974      134.64000000000001   0.02   0.0941   150.40317000000002   1.42683   15.76317   0.02054   2.326   2.326
10   18   1000   FixedEmbeddingComposite   0.006   -20.0   44   184   2.787540117933894   majority_vote   11950.004577636719   11037.375688552856      149.56   0.02   0.10901999999999999   165.32357000000002   1.43843   15.76357   0.02054   1.305   1.305
10   18   1000   FixedEmbeddingComposite   0.002   -20.0   44   200   2.787540117933894   majority_vote   5805.863380432129   4731.803178787231      144.54   0.02   0.10400000000000001   160.30197   3.46503   15.76197   0.02054   1.235   1.235
9   16   1000   FixedEmbeddingComposite   0.012   -18.0   38   139   2.7140736521829476   majority_vote   6281.126976013184   5321.619033813477      129.32   0.02   0.08878   145.08397   1.03003   15.76397   0.02054   1.242   1.242
9   16   1000   FixedEmbeddingComposite   0.029   -18.0   38   141   2.7140736521829476   majority_vote   5147.462844848633   4051.5668392181396      193.68   0.02   0.15314   209.44157   3.42443   15.76157   0.02054   0.891   0.891
9   16   1000   FixedEmbeddingComposite   0.019   -18.0   38   151   2.7140736521829476   majority_vote   5189.01252746582   4341.649770736694      117.12   0.02   0.07658   132.88277   3.93623   15.762770000000002   0.02054   1.06   1.06
9   16   1000   FixedEmbeddingComposite   0.047   -18.0   38   137   2.7140736521829476   majority_vote   8357.12742805481   7573.126792907715      104.2   0.02   0.06366   119.96397   3.5590300000000004   15.76397   0.02054   1.44   1.44
