n   d   num_itr   sp_name   p_sol   energy   variables   qubits   chain_strength   chain_break_method   py_time   embedding_time   qpu_sampling_time   qpu_anneal_time_per_sample   qpu_readout_time_per_sample   qpu_access_time   qpu_access_overhead_time   qpu_programming_time   qpu_delay_time_per_sample   total_post_processing_time   post_processing_overhead_time
6   0   500   FixedEmbeddingComposite   0.006   -12.0   36   148   2.8378024557353836   majority_vote   7322.956085205078   6530.843257904053      62.230000000000004   0.02   0.08392000000000001   77.99277000000001   0.91223   15.762770000000002   0.02054   0.549   0.549
6   0   500   FixedEmbeddingComposite   0.008   -12.0   36   147   2.8378024557353836   majority_vote   7027.03332901001   5994.032621383667      56.19   0.02   0.07184   71.95277   0.80023   15.762770000000002   0.02054   4.05   4.05
6   0   500   FixedEmbeddingComposite   0.008   -12.0   36   152   2.8378024557353836   majority_vote   5219.60973739624   4378.7524700164795      64.78   0.02   0.08902   80.54117   0.92283   15.76117   0.02054   2.457   2.457
6   0   500   FixedEmbeddingComposite   0.006   -12.0   36   160   2.8378024557353836   majority_vote   5173.041343688965   4194.453001022339      90.25   0.02   0.13996   106.01397   2.21803   15.76397   0.02054   2.311   2.311
6   0   500   FixedEmbeddingComposite   0.004   -12.0   36   150   2.8378024557353836   majority_vote   4566.866636276245   3822.481155395508      67.04   0.02   0.09354000000000001   82.80277000000001   1.64923   15.762770000000002   0.02054   0.449   0.449


6   0   400   FixedEmbeddingComposite   0.02   -12.0   36   136   2.8378024557353836   majority_vote   8655.333042144775   7794.641017913818      45.968   0.02   0.07438   61.73117   2.40383   15.76317   0.02054   1.858   1.858
6   0   400   FixedEmbeddingComposite   0.0125   -12.0   36   163   2.8378024557353836   majority_vote   3953.4902572631836   3230.640411376953      50.728   0.02   0.08628000000000001   66.48997   1.18903   15.76197   0.02054   0.862   0.862
6   0   400   FixedEmbeddingComposite   0.0075   -12.0   36   148   2.8378024557353836   majority_vote   6451.870918273926   5560.175180435181      45.480000000000004   0.02   0.07316   61.24157   1.50143   15.76157   0.02054   2.31   2.31
6   0   400   FixedEmbeddingComposite   0.0075   -12.0   36   144   2.8378024557353836   majority_vote   9206.208229064941   8419.625043869019      63.984   0.02   0.11942   79.74557000000001   1.19343   15.76157   0.02054   2.192   2.192
6   0   400   FixedEmbeddingComposite   0.0075   -12.0   36   146   2.8378024557353836   majority_vote   5265.864133834839   4486.367225646973      76.08800000000001   0.02   0.14968   91.85037   2.23063   15.76237   0.02054   0.614   0.614


6   0   200   FixedEmbeddingComposite   0.005   -12.0   36   149   2.8378024557353836   majority_vote   6504.045009613037   5688.42887878418      25.72   0.02   0.08806   41.482769999999995   3.13123   15.762770000000002   0.02054   2.056   2.056
6   0   200   FixedEmbeddingComposite   0.02   -12.0   36   146   2.8378024557353836   majority_vote   6578.299283981323   5554.1839599609375      23.784   0.02   0.07837999999999999   39.54437   1.1186300000000002   15.760370000000002   0.02054   3.892   3.892
6   0   200   FixedEmbeddingComposite   0.01   -12.0   36   144   2.8378024557353836   majority_vote   5305.028676986694   4539.848566055298      29.432000000000002   0.02   0.10662   45.194370000000006   0.53063   15.76237   0.02054   2.0460000000000003   2.0460000000000003
6   0   200   FixedEmbeddingComposite   0.005   -12.0   36   143   2.8378024557353836   majority_vote   5797.102928161621   5017.073392868042      31.488   0.02   0.1169   47.25197   1.27803   15.76397   0.02054   0.277   0.277
6   0   200   FixedEmbeddingComposite   0.0   -10.0   36   148   2.8378024557353836   majority_vote   5703.673839569092   4998.31223487854      31.584   0.02   0.11738   47.34717   1.33483   15.76317   0.02054   1.971   1.971


6   0   300   FixedEmbeddingComposite   0.023333333333333334   -12.0   36   148   2.8378024557353836   majority_vote   5116.335391998291   4267.958641052246      51.606   0.02   0.13147999999999999   67.36877000000001   1.88123   15.762770000000002   0.02054   1.985   1.985
6   0   300   FixedEmbeddingComposite   0.0   -10.0   36   141   2.8378024557353836   majority_vote   6977.5331020355225   6171.724557876587      34.812   0.02   0.0755   50.57437   3.2856300000000003   15.76237   0.02054   0.561   0.561


7   0   400   FixedEmbeddingComposite   0.0   -12.0   49   277   3.116304221349385   majority_vote   12945.353031158447   12127.081155776978      56.52   0.02   0.10076   72.28357000000001   1.9904300000000001   15.76357   0.02054   0.6900000000000001   0.6900000000000001
7   0   400   FixedEmbeddingComposite   0.0   -12.0   49   260   3.116304221349385   majority_vote   13634.680271148682   12872.081995010376      69.592   0.02   0.13344   85.35717   1.45583   15.765170000000001   0.02054   1.237   1.237


7   0   500   FixedEmbeddingComposite   0.002   -14.0   49   271   3.116304221349385   majority_vote   14456.048250198364   13675.485610961914      70.04   0.02   0.09954   85.80277000000001   1.3332300000000001   15.762770000000002   0.02054   1.1480000000000001   1.1480000000000001
7   0   500   FixedEmbeddingComposite   0.006   -14.0   49   258   3.116304221349385   majority_vote   16944.83232498169   16125.957727432251      53.77   0.02   0.067   69.53317   1.22183   15.76317   0.02054   1.222   1.222
7   0   500   FixedEmbeddingComposite   0.0   -12.0   49   273   3.116304221349385   majority_vote   8105.4205894470215   7153.765678405762      89.33   0.02   0.13812000000000002   105.09397   2.38703   15.76397   0.02054   0.622   0.622
7   0   500   FixedEmbeddingComposite   0.004   -14.0   49   267   3.116304221349385   majority_vote   12223.047971725464   11404.67643737793      50.730000000000004   0.02   0.06092   66.49117   2.60383   15.76117   0.02054   1.1460000000000001   1.1460000000000001
7   0   500   FixedEmbeddingComposite   0.002   -14.0   49   273   3.116304221349385   majority_vote   8715.191841125488   7921.1671352386475      106.60000000000001   0.02   0.17266   122.36157000000001   2.1854299999999998   15.76157   0.02054   0.8310000000000001   0.8310000000000001


7   0   600   FixedEmbeddingComposite   0.0033333333333333335   -14.0   49   254   3.116304221349385   majority_vote   9618.682861328125   8780.120611190796      122.028   0.02   0.16284   137.79237   1.6006300000000002   15.764370000000001   0.02054   2.543   2.543
7   0   600   FixedEmbeddingComposite   0.0   -12.0   49   269   3.116304221349385   majority_vote   8557.57761001587   7738.539695739746      77.76   0.02   0.08906   93.52397   3.00503   15.76397   0.02054   0.8150000000000001   0.8150000000000001


7   0   700   FixedEmbeddingComposite   0.0014285714285714286   -14.0   49   265   3.116304221349385   majority_vote   18303.707361221313   17387.2549533844      141.274   0.02   0.16128   157.03797   2.8080300000000005   15.76397   0.02054   1.058   1.058
7   0   700   FixedEmbeddingComposite   0.002857142857142857   -14.0   49   269   3.116304221349385   majority_vote   9444.337606430054   8560.802936553955      137.704   0.02   0.15618   153.46677   3.03123   15.762770000000002   0.02054   0.668   0.668
7   0   700   FixedEmbeddingComposite   0.004285714285714286   -14.0   49   252   3.116304221349385   majority_vote   18181.201457977295   17423.201084136963      79.81400000000001   0.02   0.07348   95.57557000000001   2.81743   15.76157   0.02054   2.535   2.535
7   0   700   FixedEmbeddingComposite   0.005714285714285714   -14.0   49   289   3.116304221349385   majority_vote   6696.091651916504   5941.078901290894      69.16   0.02   0.05826   84.92077   2.88723   15.76077   0.02054   4.728   4.728
7   0   700   FixedEmbeddingComposite   0.0   -12.0   49   262   3.116304221349385   majority_vote   29251.121520996094   28433.045148849487      121.674   0.02   0.13328   137.43437   2.96963   15.760370000000002   0.02054   0.802   0.802


7   0   800   FixedEmbeddingComposite   0.00125   -14.0   49   271   3.116304221349385   majority_vote   9005.738735198975   8098.652601242065      163.504   0.02   0.16384   179.26797   1.86703   15.76397   0.02054   2.743   2.743
7   0   800   FixedEmbeddingComposite   0.0025   -14.0   49   278   3.116304221349385   majority_vote   11412.037372589111   10605.830907821655      88.44800000000001   0.02   0.07002   104.21037   1.7056300000000002   15.76237   0.02054   1.56   1.56
7   0   800   FixedEmbeddingComposite   0.0025   -14.0   49   273   3.116304221349385   majority_vote   18357.670783996582   17504.205465316772      134.17600000000002   0.02   0.12718000000000002   149.93557   1.5834300000000001   15.75957   0.02054   0.877   0.877
7   0   800   FixedEmbeddingComposite   0.0   -12.0   49   280   3.116304221349385   majority_vote   8989.854574203491   8193.668603897095      94.736   0.02   0.07787999999999999   110.49797000000001   3.06103   15.76197   0.02054   0.8150000000000001   0.8150000000000001


7   0   900   FixedEmbeddingComposite   0.005555555555555556   -14.0   49   259   3.116304221349385   majority_vote   13353.32989692688   12464.598417282104      87.048   0.02   0.05618   102.81317   3.77283   15.765170000000001   0.02054   0.927   0.927
7   0   900   FixedEmbeddingComposite   0.0011111111111111111   -14.0   49   272   3.116304221349385   majority_vote   13102.70619392395   12049.797296524048      163.998   0.02   0.14168   179.76076999999998   3.0922300000000003   15.762770000000002   0.02054   1.143   1.143
