dp 	 dm 
0 	 -99 
1 	 -98 
2 	 -97 
3 	 -96 
4 	 -94 
5 	 -93 
6 	 -92 
7 	 -91 
8 	 -90 
9 	 -89 
10 	 -88 
11 	 -86 
12 	 -84 
13 	 -83 
14 	 -82 
15 	 -81 
16 	 -80 
17 	 -79 
18 	 -78 
19 	 -76 
20 	 -75 
22 	 -74 
23 	 -73 
24 	 -72 
25 	 -70 
26 	 -69 
28 	 -67 
29 	 -65 
30 	 -64 
33 	 -63 
35 	 -61 
36 	 -59 
40 	 -58 
41 	 -55 
43 	 -50 
45 	 -48 
46 	 -44 
47 	 -42 
48 	 -39 
55 	 -38 
58 	 -36 
60 	 -34 
61 	 -33 
74 	 -26 
77 	 -25 
82 	 -22 
84 	 -20 
86 	 -19 
102 	 -17 
106 	 -13 
109 	 -6 
120 	 -3 
121 	 0 
125 	 1 
128 	 7 
129 	 28 
131 	 36 
132 	 37 
134 	 41 
140 	 44 
147 	 45 
148 	 52 
151 	 54 
152 	 56 
153 	 58 
154 	 60 
156 	 61 
163 	 63 
164 	 64 
165 	 65 
167 	 67 
168 	 68 
169 	 69 
170 	 71 
171 	 72 
172 	 73 
173 	 74 
174 	 75 
175 	 76 
176 	 77 
179 	 79 
180 	 80 
181 	 82 
183 	 83 
184 	 84 
185 	 85 
186 	 87 
187 	 88 
188 	 89 
189 	 90 
190 	 91 
191 	 92 
192 	 93 
193 	 94 
194 	 95 
195 	 96 
196 	 97 
197 	 98 
198 	 99 
