5760 116
2610 2610 -896.8893418518282
2625 2625 -15
2670 2670 1162.3879829630105
2671 2671 -613.2226751851617
2685 2685 921.4439914815051
2686 2686 1412.7773248148385
2701 2701 -8
2716 2716 -5
2745 2745 1217.7773248148383
2746 2746 3891.8879829630096
2760 2760 429.61065814817175
2775 2775 -1582.3893418518282
2790 2790 -15
2805 2805 -15
3029 3029 -15
3044 3044 936.6106581481718
3059 3059 -403.38934185182825
3089 3089 -1792.8893418518282
3104 3104 -5
3119 3119 -8
3149 3149 1171.2773248148385
3193 3193 391.11065814817175
3194 3194 -2367.8893418518282
3208 3208 1272.6106581481718
3209 3209 81.61065814817175
3254 3254 1661.7773248148383
2610 2625 5
2670 2671 -4446.2213162963435
2670 2685 298.6666666666667
2671 2686 298.6666666666667
2685 2686 -4446.2213162963435
2701 2716 4
2745 2746 -4446.2213162963435
2760 2775 294.5
2790 2805 0
2670 3029 0
2685 3029 10
2745 3029 10
2670 3044 1344
2685 3044 338
2745 3044 336
2760 3044 -4446.2213162963435
2775 3044 294.5
2790 3044 0
2805 3044 10
2670 3059 3136
2685 3059 786
2745 3059 784
2760 3059 294.5
2775 3059 -4446.2213162963435
2790 3059 10
2805 3059 0
3044 3059 294.5
2610 3089 -4446.2213162963435
2625 3089 5
2670 3089 1797
2685 3089 898
2745 3089 896
2760 3089 1346
2775 3089 3138
2610 3104 2
2625 3104 0
2670 3104 0
2685 3104 2
2701 3104 0
2716 3104 0
2746 3104 0
2760 3104 2
2775 3104 2
2610 3119 4
2625 3119 0
2670 3119 0
2685 3119 4
2701 3119 0
2716 3119 0
2746 3119 0
2760 3119 4
2775 3119 4
3104 3119 4
2610 3149 1797
2625 3149 10
2670 3149 -4446.2213162963435
2685 3149 298.6666666666667
2701 3149 4
2716 3149 2
2610 3193 3136
2625 3193 0
2671 3194 3138
2686 3194 784
2701 3194 4
2716 3194 2
2746 3194 786
2760 3194 1176
2775 3194 2754
2790 3194 10
2805 3194 0
3193 3194 -4446.2213162963435
2610 3208 1344
2625 3208 0
3193 3208 589
2671 3209 1346
2686 3209 336
2701 3209 4
2716 3209 2
2746 3209 338
2760 3209 514
2775 3209 1176
2790 3209 0
2805 3209 10
3194 3209 589
3208 3209 -4446.2213162963435
2671 3254 898
2686 3254 234
2701 3254 4
2716 3254 2
2746 3254 -4446.2213162963435
